Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL17552,Illumina HiSeq 2000 (Tuber melanosporum),high-throughput sequencing,Tuber melanosporum,0,9,1,GEO,"Aug 09, 2013"
GPL17553,Illumina Hiseq 2000 (Homo sapiens),high-throughput sequencing,Homo sapiens,0,498,2,GEO,"Aug 09, 2013"
GPL16159,IMP Genomics Mouse 58MM,spotted DNA/cDNA,Mus musculus,23695,16,2,Roman R Stocsits,"Aug 08, 2013"
GPL10922,Tongji University School of Medicine TaqMan MicroRNA Array v2.0 A,RT-PCR,Homo sapiens,381,20,1,junjie xiao,"Aug 08, 2013"
GPL10923,Tongji University School of Medicine TaqMan MicroRNA Array v2.0 B,RT-PCR,Homo sapiens,294,20,1,junjie xiao,"Aug 08, 2013"
GPL15918,Chironomus_riparius_Gene_Expression_microarray,in situ oligonucleotide,Chironomus riparius,64613,138,1,Floyd Wittink,"Aug 08, 2013"
GPL17545,454 GS FLX (Campylobacter jejuni),high-throughput sequencing,Campylobacter jejuni,0,1,1,GEO,"Aug 08, 2013"
GPL17549,Illumina HiSeq 2000 (Campylobacter jejuni),high-throughput sequencing,Campylobacter jejuni,0,2,1,GEO,"Aug 08, 2013"
GPL17188,Duke/Schmid Halobacterium 100,other,Halobacterium salinarum NRC-1,100,48,1,Horia Todor,"Aug 07, 2013"
GPL17543,Illumina MouseWG-6 v2.0 R2 expression beadchip,oligonucleotide beads,Mus musculus,46237,691,47,GEO admin,"Aug 07, 2013"
GPL17544,Illumina HiSeq 2000 (Staphylococcus aureus subsp. aureus USA300),high-throughput sequencing,Staphylococcus aureus subsp. aureus USA300,0,51,2,GEO,"Aug 07, 2013"
GPL17533,Agilent-034067 Oncorhynchus mykiss RTG_Array_Ver.1 032182 (Feature Number version),in situ oligonucleotide,Oncorhynchus mykiss,105072,18,1,Makoto Hayashi,"Aug 06, 2013"
GPL17534,Illumina Genome Analyzer IIx (Prunus persica),high-throughput sequencing,Prunus persica,0,4,1,GEO,"Aug 06, 2013"
GPL16166,Agilent-026851 Helicobacter pylori [Entrez Gene ID version],in situ oligonucleotide,Helicobacter pylori 26695;Helicobacter pylori B38;Helicobacter pylori G27;Helicobacter pylori HPAG1;Helicobacter pylori J99;Helicobacter pylori P12;Helicobacter pylori Shi470,10844,18,1,Alexander Sheh,"Aug 05, 2013"
GPL16419,Nimblegen Human HG19_HELP array [100128_HG19_MKF_HELP_ChIP],in situ oligonucleotide,Homo sapiens,117521,39,1,Yael Strulovici-Barel,"Aug 05, 2013"
GPL16867,Leishmania donovani Gene Expression 8x15k Microarray - Genotypic Technology Private Limited (AMADID: 035638),in situ oligonucleotide,Leishmania donovani,8004,4,1,Vikash Kumar Dubey,"Aug 05, 2013"
GPL14126,ORB Sanger 15 miRNA microarray,spotted oligonucleotide,synthetic construct,1936,0,0,Dajie Luo,"Aug 04, 2013"
GPL17530,NimbleGen Desulfovibrio alaskensis str. G20 12-plex [110215_Ddesul_strG20_JK_exp],in situ oligonucleotide,Desulfovibrio alaskensis G20,3199,22,3,Jennifer V Kuehl,"Aug 03, 2013"
GPL17521,Agilent-025384 Homo sapiens Xq28_2009,in situ oligonucleotide,Homo sapiens,42710,22,2,James Lupski,"Aug 02, 2013"
GPL17522,Agilent-015482 Homo sapiens Claudia ChX zoom,in situ oligonucleotide,Homo sapiens,43896,9,2,James Lupski,"Aug 02, 2013"
GPL17523,Escherichia coli SE15 30K Microarray,in situ oligonucleotide,Escherichia coli SE15,4332,1,1,Sang Rim Kang,"Aug 02, 2013"
GPL17525,Illumina Genome Analyzer II (Desulfovibrio alaskensis G20),high-throughput sequencing,Desulfovibrio alaskensis G20,0,1,1,GEO,"Aug 02, 2013"
GPL17526,Illumina HiSeq 2000 (Nannospalax galili),high-throughput sequencing,Nannospalax galili,0,8,2,GEO,"Aug 02, 2013"
GPL17527,Illumina HiSeq 2000 (Enterobacteria phage lambda),high-throughput sequencing,Escherichia virus Lambda,0,3,1,GEO,"Aug 02, 2013"
GPL17528,Illumina HiSeq 2000 (Prochlorococcus marinus subsp. pastoris str. CCMP1986),high-throughput sequencing,Prochlorococcus marinus subsp. pastoris str. CCMP1986,0,10,1,GEO,"Aug 02, 2013"
GPL17235,Tmar_Design_v2,in situ oligonucleotide,Thermotoga maritima MSB8,71548,19,1,Haythem Latif,"Aug 01, 2013"
GPL15514,Agilent-021569 Physcomitrella patens 4 x 35 K array,in situ oligonucleotide,Physcomitrella patens,35359,30,2,Kenji KOMATSU,"Aug 01, 2013"
GPL16455,Agilent-035981 spod array,in situ oligonucleotide,Spodoptera frugiperda,15744,8,1,Chris Bass,"Aug 01, 2013"
GPL16475,Agilent-028035 hsa_miRNA14_Virus,in situ oligonucleotide,Homo sapiens,937,50,1,jinze zheng,"Aug 01, 2013"
GPL17036,Exiqon miRCURY LNA microRNA array [version 12 and 16 merged],spotted oligonucleotide,Homo sapiens,344,66,1,Kandiah Jeyaseelan,"Aug 01, 2013"
GPL17520,Ion Torrent PGM (Drosophila melanogaster),high-throughput sequencing,Drosophila melanogaster,0,6,2,GEO,"Aug 01, 2013"
GPL17524,Illumina HiSeq 2500 (Drosophila melanogaster; Saccharomyces cerevisiae),high-throughput sequencing,Drosophila melanogaster;Saccharomyces cerevisiae,0,4,1,GEO,"Aug 01, 2013"
GPL16978,NimbleGen custom mouse imprinted array [110228_MM9_PS_ChIP],in situ oligonucleotide,Mus musculus,716491,91,4,Xiwei Wu,"Jul 31, 2013"
GPL11321,Eurogentec Neisseria meningitidis MC58 SP-Nmeningitidis-PCR-V1,spotted DNA/cDNA,Neisseria meningitidis MC58,1917,9,1,Bachra Rokbi,"Jul 31, 2013"
GPL15813,RMIT University Salvia Subtracted Diversity Array (SDA),spotted DNA/cDNA,Salvia,285,15,1,Nitin Mantri,"Jul 31, 2013"
GPL16952,Transcription factor qRT-PCR,RT-PCR,Arabidopsis thaliana,1880,6,1,Salma Balazadeh,"Jul 31, 2013"
GPL17227,Agilent-023728 Yokoyama-MCMV-103k-v1.0,in situ oligonucleotide,Murid betaherpesvirus 1,102378,4,1,travis Chapa,"Jul 31, 2013"
GPL17479,IRCGP Canine 720K v1.0,in situ oligonucleotide,Canis lupus familiaris,719390,9,2,SeungHyun Jung,"Jul 31, 2013"
GPL17481,Illumina CanineHD BeadChip,oligonucleotide beads,Canis lupus familiaris,173662,2060,17,SeungHyun Jung,"Jul 31, 2013"
GPL17508,Saccharomyces cerevisiae 30K microarray,in situ oligonucleotide,Saccharomyces cerevisiae,5881,1,1,miwha Chang,"Jul 31, 2013"
GPL17510,Agilent-023673 Custom Oryzias latipes (Japanese medaka) 4x44K microarray,in situ oligonucleotide,Oryzias latipes,26489,12,1,geng hong,"Jul 31, 2013"
GPL14845,NimbleGen_Cryptomeria japonica_23k both strand array,in situ oligonucleotide,Cryptomeria japonica,45753,74,1,Norihiro Futamura,"Jul 30, 2013"
GPL15863,[BradiAR1b520742] Custom Affymetrix Brachypodium GeneChip,in situ oligonucleotide,Brachypodium,53263,9,1,sandrine balzergue,"Jul 30, 2013"
GPL16575,Agilent-033874 Custom Neotoma lepida eArray (ProbeName version),in situ oligonucleotide,Neotoma lepida,6986,12,1,Brett Milash,"Jul 30, 2013"
GPL17469,Agilent-046637 Sus scrofa CGH array,in situ oligonucleotide,Sus scrofa,965079,12,1,Huimin Kang,"Jul 30, 2013"
GPL17507,Agilent-031235 Oryza sativa hokudai_ikushu-3,in situ oligonucleotide,Oryza sativa,43863,66,1,Yuji Kishima,"Jul 30, 2013"
GPL17509,Illumina MiSeq (Schistosoma mansoni),high-throughput sequencing,Schistosoma mansoni,0,2,1,GEO,"Jul 30, 2013"
GPL17511,AB SOLiD 4 System (Schistosoma mansoni),high-throughput sequencing,Schistosoma mansoni,0,2,1,GEO,"Jul 30, 2013"
GPL17514,454 GS FLX Titanium (Eutrema salsugineum),high-throughput sequencing,Eutrema salsugineum,0,10,1,GEO,"Jul 30, 2013"
GPL14653,Agilent-017743 Physcomitrella patens agilent microarrays,in situ oligonucleotide,Physcomitrella patens,41384,8,1,Martin-Timothy O'Donoghue,"Jul 29, 2013"
GPL16587,Agilent-032261 FZ_IBG-1_Avinosum_Ver1,in situ oligonucleotide,Allochromatium vinosum DSM 180;Bacillus subtilis subsp. subtilis str. 168;Escherichia coli str. K-12 substr. MG1655;Rhodobacter capsulatus SB 1003,45220,9,2,Tino Polen,"Jul 29, 2013"
GPL16588,Agilent-035546 FZ_IBG-1_Avinosum_Ver2,in situ oligonucleotide,Allochromatium vinosum DSM 180;Bacillus subtilis subsp. subtilis str. 168;Corynebacterium glutamicum;Pseudomonas aeruginosa PAO1;Pseudomonas putida KT2440,45220,4,2,Tino Polen,"Jul 29, 2013"
GPL17340,Agilent Genotypic Candida albicans 15.7K,in situ oligonucleotide,Candida albicans,10044,15,1,Rebecca Schillig,"Jul 29, 2013"
GPL17501,Agilent Pseudomonas aeruginosa PAO1 Custom Microarray (Probe Name version),in situ oligonucleotide,Pseudomonas aeruginosa PAO1,5555,0,0,lixing weng,"Jul 29, 2013"
GPL17502,NimbleGen rat Gene Expression 12x135K array [090901_Rat_HX12_expr],in situ oligonucleotide,Rattus norvegicus,18107,6,1,Ji-lai Liu,"Jul 29, 2013"
GPL17504,454 GS FLX (Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819),high-throughput sequencing,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,0,2,1,GEO,"Jul 29, 2013"
GPL17506,[DroGene-1_1-st] Drosophila Gene 1.1 ST Array [transcript (gene) version],in situ oligonucleotide,Drosophila melanogaster,50525,30,2,"Affymetrix, Inc.","Jul 29, 2013"
GPL16581,Agilent-020128 Ca21_GE_2.0 [Orf version],in situ oligonucleotide,Candida albicans,6099,16,1,Changbin Chen,"Jul 28, 2013"
GPL17498,SABiosciences total CD4SP thymoctye PCR assay panel,RT-PCR,Mus musculus,96,4,1,Jung-Hyun Park,"Jul 27, 2013"
GPL17499,SABiosciences immature and mature CD4SP thymoctye PCR assay panel,RT-PCR,Mus musculus,96,8,2,Jung-Hyun Park,"Jul 27, 2013"
GPL17271,FZ_IBG-1_Goxydans_10K_Ver1,spotted oligonucleotide,Gluconobacter oxydans 621H,8640,3,1,Tino Polen,"Jul 26, 2013"
GPL17497,Illumina HiSeq 2000 (Ornithorhynchus anatinus),high-throughput sequencing,Ornithorhynchus anatinus,0,2,1,GEO,"Jul 26, 2013"
GPL17489,Agilent-042984 Pathogen Version 3,in situ oligonucleotide,Viruses,62976,1,1,wang liang,"Jul 25, 2013"
GPL17491,Illumina HiSeq 2000 (Medicago truncatula),high-throughput sequencing,Medicago truncatula,0,87,7,GEO,"Jul 25, 2013"
GPL15838,Applied Biosystems Human TaqMan Low Density Array (TLDA),RT-PCR,Homo sapiens,746,17,3,Aldo Roccaro,"Jul 24, 2013"
