Accession,Title,Series Type,Taxonomy,Sample Count,Datasets,Supplementary Types,Supplementary Links,PubMed ID,SRA Accession,Contact,Release Date
GSE54000,"NF-kB coordinates rapid, BRD4-dependent remodeling of proinflammatory super-enhancers","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing;Other","Homo sapiens",36,,"CEL;WIG","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54000/suppl",25263595,,"James Bradner","Sep 29, 2014"
GSE54452,"Expression data from wild type and CBP/p300 null MEFs +/- 3hr treatment with 100uM dipyridyl (DP)","Expression profiling by array","Mus musculus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54452/suppl",25249627,,"Paul Brindle","Sep 29, 2014"
GSE54454,"Genome-wide and single-cell analyses reveal target gene context-dependent relationship between Crebbp recruitment and both constitutive and signal-responsive gene expression.","Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing","Mus musculus",20,,"BW;CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54454/suppl",25249627,,"Paul Brindle","Sep 29, 2014"
GSE61634,"Stability analysis of B25MOL cells","Expression profiling by array","Homo sapiens",10,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61634/suppl",,,"Kerstin Heinrich","Sep 29, 2014"
GSE61847,"Inflammatory profile of NOD.Batf3-/- islets","Expression profiling by array","Mus musculus",27,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61847/suppl",25367577,,"Javier A Carrero","Sep 29, 2014"
GSE54015,"Expression data from male and female Schlager hypertensive (BPH/2J) and normotensive (BPN/3J) kidneys","Expression profiling by array","Mus musculus",24,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54015/suppl",25259444,,"Christine L Chiu","Sep 28, 2014"
GSE60247,"PPARγ controls alveolar macrophage identity [part1]","Expression profiling by array","Mus musculus",8,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60247/suppl",25263125,,"Christoph Schneider","Sep 28, 2014"
GSE60248,"PPARγ controls alveolar macrophage identity [part2]","Expression profiling by array","Mus musculus",4,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60248/suppl",25263125,,"Christoph Schneider","Sep 28, 2014"
GSE60249,"PPARγ controls alveolar macrophage identity","Expression profiling by array","Mus musculus",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60249/suppl",25263125,,"Christoph Schneider","Sep 28, 2014"
GSE61821,"Patient-based transcriptome-wide analysis identify interferon and ubiquination pathways as potential predictors of Influenza A disease severity","Expression profiling by array","Homo sapiens",402,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61821/suppl",25365328,,"Ahmad Nazri Mohamed Naim","Sep 28, 2014"
GSE61620,"Elevated expression of AKR1C3 leads esophageal cancer resistant to ionizing radiation via modulation of oxidative stress","Expression profiling by array","Homo sapiens",6,,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61620/suppl",25419901,,"Qingtao Hu","Sep 27, 2014"
GSE61772,"Elevated expression of AKR1C3 leads esophageal cancer resistant to ionizing radiation via modulation of oxidative stress (KY170)","Expression profiling by array","Homo sapiens",6,,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61772/suppl",25419901,,"Qingtao Hu","Sep 27, 2014"
GSE61787,"Gene expression profiles in the heart tissues of heart-specific Bmal1 knockout mice","Expression profiling by array","Mus musculus",2,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61787/suppl",25389966,,"Akira Kohsaka","Sep 27, 2014"
GSE61788,"Identification of genes that are differentially expressed in alt1 and WT","Expression profiling by array","Oryza sativa",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61788/suppl",25473841,,"Xiaoqiang Liu","Sep 27, 2014"
GSE61804,"Role of NFATc1 in patients with FLT3-ITD AML","Expression profiling by array","Homo sapiens",325,,"CEL;PDF","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61804/suppl",,,"Andreas Burchert","Sep 27, 2014"
GSE61809,"transcriptome and translatome of arabidopsis wt seeds according to dormancy-transcriptomic and translatomic analysis of Arabidopsis seeds","Expression profiling by array","Arabidopsis thaliana",24,,"PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61809/suppl",26019300,,"Soubigou-Taconnat Ludivine","Sep 27, 2014"
GSE61816,"Elevated expression of AKR1C3 leads esophageal cancer resistant to ionizing radiation via modulation of oxidative stress (TE13)","Expression profiling by array","Homo sapiens",6,,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61816/suppl",25419901,,"Qingtao Hu","Sep 27, 2014"
GSE61820,"Developmental gene expression in Gaspe in response to nitrate","Expression profiling by array","Zea mays",28,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61820/suppl",,,"Darren Plett","Sep 27, 2014"
GSE42404,"The side population of human pancreatic cancer expresses cancer stem cell-associated genes","Expression profiling by array","Homo sapiens",22,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42404/suppl",24069258,,"Wouter Van Delm","Sep 26, 2014"
GSE46455,"Comparison between wild type E. coli and adhE (alcohol dehydrogenase) mutants, grown under anaerobic condition","Expression profiling by array","Escherichia coli BL21(DE3);Escherichia coli BW25113;Escherichia coli CFT073;Escherichia coli O157:H7 str. EDL933;Escherichia coli O157:H7 str. Sakai;Escherichia coli str. K-12 substr. MG1655",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46455/suppl",25250024,,"Seungwoo Hwang","Sep 26, 2014"
GSE51222,"Gene expression analysis in the lungs of Fra-2 Transgenic mice","Expression profiling by array","Mus musculus",8,,"GPR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51222/suppl",,,"Jochen Wilhelm","Sep 26, 2014"
GSE55858,"Changes in brain gene expression profiles during sexual maturation of European eel (Anguilla anguilla) males.","Expression profiling by array","Anguilla anguilla",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55858/suppl",25230743,,"Massimo Milan","Sep 26, 2014"
GSE55953,"Ionizing Radiation Induced Gene Expression Alterations in Human Peripheral Blood Mononuclear Cells","Expression profiling by array","Homo sapiens",28,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55953/suppl",25257395,,"Lucian Beer","Sep 26, 2014"
GSE55955,"Ionizing Radiation Induced Gene and micro RNA Expression Alterations in Human Peripheral Blood Mononuclear Cells","Expression profiling by array;Non-coding RNA profiling by array","Homo sapiens",56,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE55nnn/GSE55955/suppl",25257395,,"Lucian Beer","Sep 26, 2014"
GSE56126,"PCGF6, a polycomb group protein, regulates mesodermal lineage differentiation in murine ES cells and functions in iPS reprogramming","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56126/suppl",25187489,,"Martin Zenke","Sep 26, 2014"
GSE60150,"Global brown adipose transcript data from fasted male BXD strains on chow diet","Expression profiling by array","Mus musculus",37,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60150/suppl",25255223,,"Johan Auwerx","Sep 26, 2014"
GSE60151,"Global quadriceps skeletal muscle transcript data from fasted male BXD strains on chow or high fat diet","Expression profiling by array","Mus musculus",79,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60151/suppl",25255223,,"Johan Auwerx","Sep 26, 2014"
GSE60732,"Gene expression changes upon knockdown of DEK in the U937 cell line","Expression profiling by array","Homo sapiens",9,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60732/suppl",25216995,,"Carl Sanden","Sep 26, 2014"
GSE61750,"mTORC1 activation blocks BrafV600E-induced growth-arrest but is insufficient for melanoma formation","Expression profiling by array","Mus musculus",13,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61750/suppl",25584893,,"William Damsky","Sep 26, 2014"
GSE61759,"Chronic low-dose-irradiation of Drosophila melanogaster larvae induces gene expression changes and enhances locomotive behavior","Expression profiling by array","Drosophila melanogaster",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61759/suppl",25792464,,"Nam seonyeong","Sep 26, 2014"
GSE61766,"Expression data from rhesus macaque blood CD8+ T cells","Expression profiling by array","Macaca mulatta",33,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61766/suppl",,,"Michael George","Sep 26, 2014"
GSE61784,"Gene expression profile in DRG neurons over-expressing NRG1 type III intracellular domain","Expression profiling by array","Rattus norvegicus",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61784/suppl",25362470,,"Amelia Trimarco","Sep 26, 2014"
GSE51068,"High-throughput  expression profiling of OCI-Ly3 cell line upon treatment with a panel of 14 known drugs.","Expression profiling by array","Homo sapiens",282,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51068/suppl",25419740,,"Mukesh Bansal","Sep 25, 2014"
GSE53471,"Standard of hygiene and immune adaptation in newborn infants [113 cord blood RNA samples]","Expression profiling by array","Homo sapiens",113,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53471/suppl",25245264,,"Essi Laajala","Sep 25, 2014"
GSE53472,"Standard of hygiene and immune adaptation in newborn infants [15 rehybridized/batch correction samples]","Expression profiling by array","Homo sapiens",15,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53472/suppl",25245264,,"Essi Laajala","Sep 25, 2014"
GSE53473,"Standard of hygiene and immune adaptation in newborn infants","Expression profiling by array","Homo sapiens",128,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53473/suppl",25245264,,"Essi Laajala","Sep 25, 2014"
GSE53795,"Th17 pathway is activated in early inflamed acne lesions","Expression profiling by array","Homo sapiens",24,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53795/suppl",25153527,,"Johannes Voegel","Sep 25, 2014"
GSE58300,"Gene expression profiles of mouse ESC cardiomyocyte-specific differentiation","Expression profiling by array","Mus musculus",8,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58300/suppl",25058891,,"L Gan","Sep 25, 2014"
GSE59735,"Effect of pioglitazone treatment on gene expression in NCI-H2347 lung cancer cells: time course experiment","Expression profiling by array","Homo sapiens",18,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59735/suppl",25264247,,"Ralf Kittler","Sep 25, 2014"
GSE59736,"Metabolic regulation of cancer cell proliferation is mediated by reactive oxygen species","Expression profiling by array","Homo sapiens",22,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59736/suppl",25264247,,"Ralf Kittler","Sep 25, 2014"
GSE60976,"mRNA destabilization is the dominant effect of mammalian microRNAs by the time substantial repression ensues (gene expression)","Expression profiling by array","Mus musculus",10,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60976/suppl",25263593,,"Stephen Eichhorn","Sep 25, 2014"
GSE61073,"mRNA destabilization is the dominant effect of mammalian microRNAs by the time substantial repression ensues","Expression profiling by high throughput sequencing;Non-coding RNA profiling by high throughput sequencing;Expression profiling by array","Homo sapiens;Mus musculus",95,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61073/suppl",25263593,,"Stephen Eichhorn","Sep 25, 2014"
GSE61714,"Generation of functional human pancreatic beta cells in vitro","Expression profiling by array","Homo sapiens",2,,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61714/suppl",25303535,,"Jeffrey Robert Millman","Sep 25, 2014"
GSE61729,"An eIF4E1/4E-T complex determines the genesis of neurons from precursors by translationally repressing a proneurogenic transcription program","Expression profiling by array","Mus musculus",10,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61729/suppl",25456498,,"Freda D Miller","Sep 25, 2014"
GSE51151,"Expression data from OsSIK2-overexpression and mutant rice seedlings","Expression profiling by array","Oryza sativa",7,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51151/suppl",,,"Xiang Lu","Sep 24, 2014"
GSE51152,"Identification of rice ethylene-response mutants and characterization of mhz2 and mhz8 in distinct ethylene response and yield trait regulation","Expression profiling by array","Oryza sativa",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51152/suppl",,,"Xiang Lu","Sep 24, 2014"
GSE51153,"Identification of rice ethylene-response mutants and characterization of mhz1, mhz4 and mhz5 in distinct ethylene response and yield trait regulation","Expression profiling by array","Oryza sativa",14,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51153/suppl",,,"Xiang Lu","Sep 24, 2014"
GSE51490,"GEP of PMBCs during treatment with a gene-modified allogeneic tumor cell vaccine in advanced renal cell cancer (RCC) patients","Expression profiling by array","Homo sapiens",27,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51490/suppl",25242680,,"Michael Grau","Sep 24, 2014"
GSE51717,"Expression analysis of Reh cells after transfection with constitutively active variants of IRF5 (IRF5-4D) and/or constitutively active IKKβ(EE)","Expression profiling by array","Homo sapiens",8,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51717/suppl",25288773,,"Karl Koechert","Sep 24, 2014"
GSE51719,"Expression analysis of murine splenic B-cells after retroviral transduction with a constitutively active variant of IRF5 (IRF5-4D)","Expression profiling by array","Mus musculus",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51719/suppl",25288773,,"Karl Koechert","Sep 24, 2014"
GSE54766,"Tissue- and Aging-specific DNA-Methylation Patterns are erased in Mesenchymal Stromal Cells derived from Induced Pluripotent Stem Cells. [Expression profiling]","Expression profiling by array","Homo sapiens",8,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54766/suppl",25241740,,"Wolfgang Wagner","Sep 24, 2014"
GSE54769,"Tissue- and Aging-specific DNA-Methylation Patterns are erased in Mesenchymal Stromal Cells derived from Induced Pluripotent Stem Cells.","Expression profiling by array;Methylation profiling by array","Homo sapiens",20,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54769/suppl",25241740,,"Wolfgang Wagner","Sep 24, 2014"
GSE61281,"Human Whole Blood: Psoriatic Arthritis [PsA] vs. Cutaneous Psoriasis Without Arthritis [PsC] vs. Controls","Expression profiling by array","Homo sapiens",52,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61281/suppl",25243786,,"Dafna D Gladman","Sep 24, 2014"
GSE61671,"Gene expression profiling in melanoma A375 cells under anchorage, suspension, and reattachment from suspension","Expression profiling by array","Homo sapiens",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61671/suppl",25426644;25236603,,"Shaochen Lee","Sep 24, 2014"
GSE61675,"Transcriptome of Arabidopsis thaliana ceh1 mutant","Expression profiling by array","Arabidopsis thaliana",6,,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61675/suppl",25922532,,"Katayoon Dehesh","Sep 24, 2014"
GSE33532,"Intratumor heterogeneity of gene expression profiles in early stage non-small cell lung cancer (NSCLC)","Expression profiling by array","Homo sapiens",100,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33532/suppl",,,"Michael Meister","Sep 23, 2014"
GSE37344,"PGC-1α mediates mitochondrial biogenesis and oxidative phosphorylation in cancer cells to promote metastasis","Expression profiling by array","Mus musculus",3,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37344/suppl",25241037,,"Valerie LeBleu","Sep 23, 2014"
GSE51332,"miRNA expression profiles of peripheral monocytes and glioblastoma-infiltrating macrophages","Expression profiling by array","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51332/suppl",24974128,,"Amy B Heimberger","Sep 23, 2014"
GSE52189,"Effects of SFP1 deletion and Sfp1p prionization on transcription in Saccharomyces cerevisiae","Expression profiling by array","Saccharomyces cerevisiae",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52189/suppl",25227157,,"Polina Drozdova","Sep 23, 2014"
GSE53565,"Effects of Acute Exposure to the Non-steroidal Anti-inflammatory Drug Ibuprofen on the Developing North American Bullfrog (Rana catesbeiana) Tadpole","Expression profiling by array","Rana catesbeiana;Rana pipiens;Xenopus laevis",24,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53565/suppl",25111458,,"Nik Veldhoen","Sep 23, 2014"
GSE57774,"Small molecules facilitate rapid and synchronous iPSC generation","Expression profiling by array","Mus musculus",18,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57774/suppl",25262205,,"Ori Bar-Nur","Sep 23, 2014"
GSE58442,"Differential gene expression in the skin of dogs sensitized to the house dust mite Dermatophagoides farinae","Expression profiling by array","Canis lupus familiaris",60,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58442/suppl",25098772,,"Stefan Michael Bauersachs","Sep 23, 2014"
GSE58542,"Comparison of gene expression in control and BRG1-knockdown H358 cell lines","Expression profiling by array","Homo sapiens",12,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58542/suppl",25115300,,"Vonn Walter","Sep 23, 2014"
GSE59653,"ALDH-positive MCF-7 cells","Expression profiling by array","Homo sapiens",2,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59653/suppl",25254944,,"Yasunari Kanda","Sep 23, 2014"
GSE59899,"Transient expression of CHD5 in KELLY cells","Expression profiling by array","Homo sapiens",2,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59899/suppl",25247294,,"Timur Yusufzai","Sep 23, 2014"
GSE61284,"Gene expression profile of CD4+ T-cells restimulated by anti-CD3 and anti-ICOS compared to anti-CD3 alone","Expression profiling by array","Mus musculus",6,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61284/suppl",25436971,,"Jianmei Wu Leavenworth","Sep 23, 2014"
GSE61326,"Vitamin D Prevents Cognitive Decline and Enhances Hippocampal Synaptic Function in Aging Rats","Expression profiling by array","Rattus norvegicus",26,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61326/suppl",25267625,,"Eric M Blalock","Sep 23, 2014"
GSE61512,"Alteration of the transcriptome upon plakophilin3 loss in FBM cell line","Expression profiling by array","Homo sapiens",4,,"TXT;XLS;XLSX","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61512/suppl",,,"Srikanta Basu","Sep 23, 2014"
GSE61599,"Loss of SOX2 expression induces cell migration via Vimentin up-regulation and serves as unfavourable risk factor for poor survival of head and neck squamous cell carcinoma patients","Expression profiling by array","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61599/suppl",,,"Chunxuan Shao","Sep 23, 2014"
GSE61601,"Gene expression data from hCdc73 knock-down HEK293 cells under confluent and sparse condition.","Expression profiling by array","Homo sapiens",4,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61601/suppl",25388829,,"Jay-Hyun Jo","Sep 23, 2014"
GSE61616,"The effect of XUESAITONG on gene expression profile after focal cerebral ischemia in rats","Expression profiling by array","Rattus norvegicus",15,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61616/suppl",,,"Xiaohui Fan","Sep 23, 2014"
GSE61633,"Expression data from citrus embryogenic calli with engineered carotenoid accumulation","Expression profiling by array","Citrus sinensis;Citrus x paradisi;Citrus x tangelo",12,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61633/suppl",,,"hongbo Cao","Sep 23, 2014"
GSE61639,"KAP1 promotes proliferation and metastatic progression of breast cancer cells","Expression profiling by array","Homo sapiens",7,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61639/suppl",25421577,,"Alexey Ivanov","Sep 23, 2014"
GSE61647,"Transcriptional Changes in the Aging Mouse Hippocampus (expression)","Expression profiling by array","Mus musculus",8,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61647/suppl",25431548,,"Roman M Stilling","Sep 23, 2014"
GSE29955,"Expression data from cells with siRNA-mediated knockdown of OPG and from HVSMCs incubated with RANKL or TRAIL","Expression profiling by array","Homo sapiens",18,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29955/suppl",22698523,,"Vibe Skov","Sep 22, 2014"
GSE40511,"MiR-34a is dispensable for normal development but its loss accelerates medulloblastoma formation","Expression profiling by array","Mus musculus",14,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40511/suppl",,,"Martin Irmler","Sep 22, 2014"
GSE41362,"Gene expression by myriocin treatment","Expression profiling by array","Saccharomyces cerevisiae;Schizosaccharomyces pombe",6,,"CEL;TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41362/suppl",23725375,,"Jun Liu","Sep 22, 2014"
GSE42233,"Expression profiling of murine lung 70 days following exposure to fractionated or acute dose of 1.0 Gy 56Fe- particle irradiation","Expression profiling by array","Mus musculus",42,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42233/suppl",24486591,,"Kimberly Batten","Sep 22, 2014"
GSE49000,"SRT2104 extends survival of male mice on a standard diet and preserves bone and muscle mass","Expression profiling by array","Mus musculus",30,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49000/suppl",24931715,,"Kevin G Becker","Sep 22, 2014"
GSE51098,"Gene expression of the intermediate and outer interzone of murine embryos at 15.5 days of gestation","Expression profiling by array","Mus musculus",6,,"TXT","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51098/suppl",24738827,,"Florien Jenner","Sep 22, 2014"
GSE56155,"The Arabidopsis Mediator CDK8 module genes CCT and GCT are global regulators of developmental phase transitions.","Expression profiling by array","Arabidopsis thaliana",9,,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56155/suppl",25377553,,"Matthew R Willmann","Sep 22, 2014"
GSE58067,"Gene expression landscape of CS cerebellum","Expression profiling by array","Homo sapiens",12,,"PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58067/suppl",25249633,,"Yuming Wang","Sep 22, 2014"
GSE58068,"Gene expression profile of fibroblasts derived from CS patient","Expression profiling by array","Homo sapiens",8,,"PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58068/suppl",25249633,,"Yuming Wang","Sep 22, 2014"
GSE58069,"Gene expression profile associated with PTB-mediated transdifferentiation of human fibroblast cells into neurons","Expression profiling by array","Homo sapiens",8,,"PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58069/suppl",25249633,,"Yuming Wang","Sep 22, 2014"
GSE58070,"Gene expression profile during SH-SY5Y neuroblastoma differentiation","Expression profiling by array","Homo sapiens",24,,"PAIR","ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58070/suppl",25249633,,"Yuming Wang","Sep 22, 2014"
