Accession,Title,Technology,Taxonomy,Data Rows,Samples Count,Series Count,Contact,Release Date
GPL15327,"Illumina Genome Analyzer IIx (Equus asinus x caballus)","high-throughput sequencing","Equus asinus x caballus",0,6,1,"GEO","Mar 07, 2012"
GPL15328,"Illumina Genome Analyzer IIx (Equus caballus x asinus)","high-throughput sequencing","Equus caballus x asinus",0,1,1,"GEO","Mar 07, 2012"
GPL8899,"CombiMatrix 4x2k human microRNA microarray miRBase 9.0","in situ oligonucleotide","Homo sapiens",4135,12,2,"Kristin Reiche","Mar 06, 2012"
GPL13149,"BaSysBio Bacillus subtilis T1 385K array [070910_BaSysBio_expr]","in situ oligonucleotide","Bacillus subtilis subsp. subtilis str. 168",5875,269,1,"Ulrike Mäder","Mar 06, 2012"
GPL15280,"Agilent-024708: Drosophila euchromatic probes, plus potential heterochromatin","in situ oligonucleotide","Drosophila melanogaster",105072,0,0,"Bing He","Mar 06, 2012"
GPL15287,"Agilent-020087 human whole genome 4x44K (Feature Number version)","in situ oligonucleotide","Homo sapiens",45220,4,1,"Akshay Zawar","Mar 06, 2012"
GPL15312,"Agilent-017743 Physcomitrella custom 4x44K array","in situ oligonucleotide","Physcomitrella patens",41444,8,1,"Andrija Finka","Mar 06, 2012"
GPL15314,"Arraystar Human LncRNA microarray V2.0 (Agilent_033010 Probe Name version)","in situ oligonucleotide","Homo sapiens",60756,246,34,"Panos Pan","Mar 06, 2012"
GPL15321,"Agilent-024708: Drosophila euchromatic probes, plus potential heterochromatin [Probe name version]","in situ oligonucleotide","Drosophila melanogaster",83472,43,6,"Bing He","Mar 06, 2012"
GPL3075,"Schistosoma japonicum gender-associated differentially expressed gene array","spotted DNA/cDNA","Schistosoma japonicum",6272,4,1,"Yanxun Xia","Mar 05, 2012"
GPL15051,"Ceriporiopsis subvermispora RP-B expression Roche NimbleGen microarrays","in situ oligonucleotide","Gelatoporia subvermispora",12096,9,1,"Dan Cullen","Mar 05, 2012"
GPL15302,"Illumina Genome Analyzer IIx (Physcomitrella patens)","high-throughput sequencing","Physcomitrella patens",0,4,1,"GEO","Mar 05, 2012"
GPL15304,"Agilent-015058 O. sativa (Rice) Oligo Microarray 4x44K (Feature Number version)","in situ oligonucleotide","Oryza sativa",45220,32,2,"Agilent Technologies","Mar 05, 2012"
GPL15308,"Affymetrix Human Genome U133 Plus 2.0 Array [Brainarray Version 15.0.0, HGU133Plus2_Hs_ENTREZG]","in situ oligonucleotide","Homo sapiens",18926,917,2,"GEO admin","Mar 05, 2012"
GPL14612,"Nimblegen HD4 Yeast 12X ~270K array [110413_Scer_LI_ChIP]","in situ oligonucleotide","Saccharomyces cerevisiae",273371,24,1,"Jason D Lieb","Mar 04, 2012"
GPL15301,"Combimatrix Thiomicrospira crunogena array","in situ oligonucleotide","Thiomicrospira crunogena",5925,6,1,"Kathleen Scott","Mar 04, 2012"
GPL15289,"Agilent-037746 S. cerevisiae simr_msm_sense_44k","in situ oligonucleotide","Saccharomyces cerevisiae",45220,11,4,"Madelaine Gogol","Mar 03, 2012"
GPL15290,"Agilent-037680 S. cerevisiae simr_msm_antisense_44k","in situ oligonucleotide","Saccharomyces cerevisiae",45220,11,4,"Madelaine Gogol","Mar 03, 2012"
GPL11340,"Agilent-014068 Homo sapiens 185K microarray","in situ oligonucleotide","Homo sapiens",183328,18,1,"Vikki Rand","Mar 02, 2012"
GPL14568,"Rice_135k_tiling_V2 array","in situ oligonucleotide","Oryza sativa",31588,39,2,"Su-Hyun Park","Mar 02, 2012"
GPL15284,"LC Sciences G. gallus miRChicken_17","in situ oligonucleotide","Gallus gallus",3968,0,0,"Michael Bryan Watson","Mar 02, 2012"
GPL15292,"University Health Services (Toronto) Yeast ORF, Version 6.4k","spotted DNA/cDNA","Saccharomyces cerevisiae",10461,3,1,"Pamela Silver","Mar 02, 2012"
GPL15293,"Illumina Genome Analyzer IIx (Brassica rapa)","high-throughput sequencing","Brassica rapa",0,60,3,"GEO","Mar 02, 2012"
GPL13117,"Clostridium thermocellum ATCC 27405","in situ oligonucleotide","Ruminiclostridium thermocellum ATCC 27405",3065,24,1,"Lee R Lynd","Mar 01, 2012"
GPL13216,"NimbleGen rhesus macaque promoter","in situ oligonucleotide","Macaca mulatta",383671,3,2,"Jinkai Wang","Mar 01, 2012"
GPL13843,"Roche Nimblegen G.zeae 135K microarray","in situ oligonucleotide","Fusarium graminearum",13388,12,1,"Won Kyong Cho","Mar 01, 2012"
GPL13888,"Weiss SABiosciences Custom RT-PCR profiler array CAPR 100083, 96, v1.0","RT-PCR","Rattus norvegicus",96,15,2,"Mark L Weiss","Mar 01, 2012"
GPL13955,"Affymetrix Glycine max A1GMa520113","in situ oligonucleotide","Glycine max",83242,60,1,"Jim Morrell","Mar 01, 2012"
GPL13971,"Agilent-019584 Clostridium perfringens 15K","in situ oligonucleotide","Clostridium perfringens",15744,163,1,"Panu Somervuo","Mar 01, 2012"
GPL14673,"WSU_Salmonella Enteritidis_11977_v1","in situ oligonucleotide","Salmonella enterica subsp. enterica serovar Enteritidis",11977,18,1,"Devendra H Shah","Mar 01, 2012"
GPL14724,"Washington University/Genome Sequencing Center C. elegans 23K [oligoID version]","spotted oligonucleotide","Caenorhabditis elegans",22507,7,3,"Marko Jovanovic","Mar 01, 2012"
GPL14976,"Affymetrix GeneChip Rat Genome 230 2.0 Array [custom CDF: Rn230_Rn_UG_v9]","in situ oligonucleotide","Rattus norvegicus",16944,6,1,"Alexander Paliege","Mar 01, 2012"
GPL15056,"NimbleGen Zilberman Arabidopsis HD2 array [080709_AT8_DZ_ChIP_HX1]","in situ oligonucleotide","Arabidopsis thaliana",2160801,23,1,"Toshiro Nishimura","Mar 01, 2012"
GPL15116,"Agilent-027437 Pare Neurospora crassa (PROBE_ID)","in situ oligonucleotide","Neurospora crassa",10526,18,1,"Adam Paré","Mar 01, 2012"
GPL15157,"Stillman Lab Porcelain Crab Array 3","spotted DNA/cDNA","Petrolisthes cinctipes",24748,50,1,"Jonathon H Stillman","Mar 01, 2012"
GPL15286,"Phytophthora ramorum 4x72K v1.0","in situ oligonucleotide","Phytophthora ramorum",15488,13,1,"Takao Kasuga","Mar 01, 2012"
GPL14142,"Custom Agilent C. brenneri expression microarray","in situ oligonucleotide","Caenorhabditis brenneri",43803,30,1,"Itai Yanai","Feb 29, 2012"
GPL14143,"Custom Agilent C. briggsae expression microarray","in situ oligonucleotide","Caenorhabditis briggsae",43803,30,1,"Itai Yanai","Feb 29, 2012"
GPL14144,"Custom Agilent C. elegans expression microarray","in situ oligonucleotide","Caenorhabditis elegans",43803,30,1,"Itai Yanai","Feb 29, 2012"
GPL14145,"Custom Agilent C. japonica expression microarray","in situ oligonucleotide","Caenorhabditis japonica",43803,30,1,"Itai Yanai","Feb 29, 2012"
GPL14146,"Custom Agilent C. remanei expression microarray","in situ oligonucleotide","Caenorhabditis remanei",43803,30,1,"Itai Yanai","Feb 29, 2012"
GPL15230,"NimbleGen Staphylococcus aureus NCTC 8325 X4 expression array [DesignID:11374]","in situ oligonucleotide","Staphylococcus aureus subsp. aureus NCTC 8325",8662,9,1,"Victoria Ryder","Feb 29, 2012"
GPL13298,"CombiMatrix 90K Petunia axillaris array","in situ oligonucleotide","Petunia axillaris",27748,33,2,"Sara Zenoni","Feb 29, 2012"
GPL13299,"CombiMatrix 90K Petunia inflata array","in situ oligonucleotide","Petunia integrifolia subsp. inflata",29306,21,1,"Sara Zenoni","Feb 29, 2012"
GPL14984,"Agilent-033023 Hzea_Virus_2directions [Feature Number Version]","in situ oligonucleotide","Helicoverpa zea",180880,4,1,"Quan Hoang Nguyen","Feb 29, 2012"
GPL15227,"Agilent-027388 Salmonella typhimurium SL1344","in situ oligonucleotide","Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344",15744,24,1,"Gaspar Avendano","Feb 29, 2012"
GPL15281,"Agilent Mouse 8 x 6 array AMADID: 29686","in situ oligonucleotide","Mus musculus",61307,2,1,"Rohini Muthuswami","Feb 29, 2012"
GPL15175,"CUST-40K-Staphylococcus_epidermidis_RP62A","in situ oligonucleotide","Staphylococcus epidermidis RP62A",7801,4,1,"Mohan Pammi Venkatesh","Feb 28, 2012"
GPL15279,"KTH human operon 34k spotted array","spotted oligonucleotide","Homo sapiens",35712,8,1,"Daniel Klevebring","Feb 28, 2012"
GPL11016,"Agilent/INRA FH Sus scrofa 15K muscle array","in situ oligonucleotide","Sus scrofa",125952,0,0,"Frederic Herault","Feb 27, 2012"
GPL11653,"Van Andel Institute Human 18k cDNA microarray","spotted DNA/cDNA","Homo sapiens",18192,28,1,"Xuewei Wang","Feb 27, 2012"
GPL15252,"Klebsiella pneumoniae MGH 78578 Nimblegen 9822 array","in situ oligonucleotide","Klebsiella pneumoniae subsp. pneumoniae MGH 78578",379528,15,3,"Bernhard Palsson","Feb 24, 2012"
GPL15254,"harvard_Carpodacusmexicanus_1","spotted DNA/cDNA","Haemorhous mexicanus",6400,11,1,"Camille Bonneaud","Feb 24, 2012"
GPL15272,"Illumina Genome Analyzer IIx (Listeria monocytogenes EGD-e)","high-throughput sequencing","Listeria monocytogenes EGD-e",0,12,1,"GEO","Feb 24, 2012"
GPL15273,"Illumina Genome Analyzer IIx (Listeria innocua Clip11262)","high-throughput sequencing","Listeria innocua Clip11262",0,4,1,"GEO","Feb 24, 2012"
GPL15276,"Illumina HiSeq 2000 (Malus x domestica)","high-throughput sequencing","Malus domestica",0,3,1,"GEO","Feb 24, 2012"
GPL15277,"AB SOLiD 4 System (Malus x domestica)","high-throughput sequencing","Malus domestica",0,2,1,"GEO","Feb 24, 2012"
GPL15260,"CombiMatrix 90K Brassica oligonucleotide array (v1.1)","in situ oligonucleotide","Brassica napus",90564,54,2,"Raju Datla","Feb 23, 2012"
GPL15263,"AB SOLiD 4 System (Saccharomyces cerevisiae)","high-throughput sequencing","Saccharomyces cerevisiae",0,36,6,"GEO","Feb 23, 2012"
GPL15264,"AB SOLiD 4 System (Saccharomyces paradoxus)","high-throughput sequencing","Saccharomyces paradoxus",0,2,1,"GEO","Feb 23, 2012"
GPL15265,"AB SOLiD 4 System (Saccharomyces arboricola)","high-throughput sequencing","Saccharomyces arboricola",0,2,1,"GEO","Feb 23, 2012"
GPL15266,"AB SOLiD 4 System (Saccharomyces bayanus)","high-throughput sequencing","Saccharomyces bayanus",0,2,1,"GEO","Feb 23, 2012"
GPL15267,"AB SOLiD 4 System (Saccharomyces bayanus x Saccharomyces cerevisiae)","high-throughput sequencing","Saccharomyces bayanus x Saccharomyces cerevisiae",0,2,1,"GEO","Feb 23, 2012"
GPL15270,"Illumina Genome Analyzer IIx (Capra hircus)","high-throughput sequencing","Capra hircus",0,7,2,"GEO","Feb 23, 2012"
GPL15151,"WashU C. Neformans ver2 array (locus ID)","spotted oligonucleotide","Cryptococcus neoformans",11381,37,3,"Erin McClelland","Feb 22, 2012"
GPL14381,"Custom E. coli K12 8 x 15K format","spotted oligonucleotide","Escherichia coli",14554,4,1,"Torsten Waldminghaus","Feb 22, 2012"
GPL15257,"Exiqon MiRCURY Locked Nucleic Acid array [miRBase 8.2]","spotted oligonucleotide","Homo sapiens",459,5,1,"Casina W.S Kan","Feb 22, 2012"
GPL14784,"[CB1190a520768F] Affymetrix Pseudonocardia dioxanivorans strain CB1190 Array","in situ oligonucleotide","Pseudonocardia dioxanivorans CB1190",6510,21,3,"Ariel Grostern","Feb 21, 2012"
GPL15255,"Agilent-014339 Rat genome CGH 185K microarray","in situ oligonucleotide","Rattus norvegicus",184333,16,1,"yoshiyuki ishii","Feb 21, 2012"
GPL15258,"Agilent-016320 rainbow trout 37K oligo array [Probe name version]","in situ oligonucleotide","Oncorhynchus mykiss",37455,35,3,"Mohamed Salem","Feb 21, 2012"
GPL13255,"RT2 Profiler PCR Array Mouse Apoptosis","spotted DNA/cDNA","Mus musculus",96,5,1,"Kate McInnerney","Feb 20, 2012"
GPL13939,"Agilent-021826 UIUC Erwinia 15K.V1.0","spotted DNA/cDNA","Erwinia amylovora",4860,34,3,"Frank Zhao","Feb 18, 2012"
GPL14815,"Mouse Th17 for Autoimmunity & Inflammation RT² Profiler™ PCR Array","RT-PCR","Mus musculus",89,9,1,"Dar Heinze","Feb 17, 2012"
GPL14816,"Mouse Signal Transduction PathwayFinder RT² Profiler™ PCR Array","RT-PCR","Mus musculus",89,9,1,"Dar Heinze","Feb 17, 2012"
GPL14817,"Mouse Extracellular Matrix and Adhesion Molecules RT² Profiler™ PCR Array","RT-PCR","Mus musculus",89,9,1,"Dar Heinze","Feb 17, 2012"
GPL15089,"NanoString nCounter mouse miRNA expression platform","other","Mus musculus",599,4,3,"Stefan Adi Muljo","Feb 17, 2012"
GPL15199,"NimbleGen Magnetospirillum magneticum str. AMB-1 - 4x72k custom expression array","in situ oligonucleotide","Magnetospirillum magneticum AMB-1",9040,16,1,"Arash Komeili","Feb 17, 2012"
GPL15249,"SGDB Yeast 15.36K Operon","spotted oligonucleotide","Saccharomyces cerevisiae",15360,11,2,"Michal Cap","Feb 17, 2012"
GPL15250,"AB SOLiD System 3.0 (Noccaea caerulescens)","high-throughput sequencing","Noccaea caerulescens",0,9,1,"GEO","Feb 17, 2012"
GPL15253,"Illumina Genome Analyzer II (Ipomoea batatas)","high-throughput sequencing","Ipomoea batatas",0,7,1,"GEO","Feb 17, 2012"
GPL15234,"miRXplore TM Microarray (911)","spotted DNA/cDNA","Homo sapiens;Mus musculus;Rattus norvegicus",1557,4,1,"Silvia Rueberg","Feb 16, 2012"
GPL15235,"miRXplore TM Microarray (958)","spotted DNA/cDNA","Homo sapiens;Mus musculus;Rattus norvegicus",1607,12,2,"Silvia Rueberg","Feb 16, 2012"
GPL15237,"Agilent-021438 Custom HD-CGH microarray (1x244K)","in situ oligonucleotide","Homo sapiens",241797,16,1,"Denise Sheer","Feb 16, 2012"
GPL15244,"Agilent-025537 Murine herpesvirus 68 [Feature Number version]","in situ oligonucleotide","Murid herpesvirus 4",12241,8,2,"Laurie Krug","Feb 16, 2012"
GPL15245,"Agilent-027295 Murine herpesvirus 68 array [Feature Number version]","in situ oligonucleotide","Murid herpesvirus 4",12453,4,2,"Laurie Krug","Feb 16, 2012"
GPL15246,"NimbleGen P. falciparum 3D7 Whole Genome CGH Array [090317_Plasmodium_3D7_WG_CGH]","in situ oligonucleotide","Plasmodium falciparum",385585,4,1,"NimbleGen Systems, Inc.","Feb 16, 2012"
GPL15247,"Illumina Genome Analyzer IIx (Strongylocentrotus purpuratus)","high-throughput sequencing","Strongylocentrotus purpuratus",0,6,1,"GEO","Feb 16, 2012"
GPL15248,"Illumina Genome Analyzer IIx (Lotus japonicus)","high-throughput sequencing","Lotus japonicus",0,0,0,"GEO","Feb 16, 2012"
GPL13752,"Human_HG18_Deluxe_Promoter_HX1_HD2.1 tiling array","in situ oligonucleotide","Homo sapiens",2113890,7,2,"W. Lee Kraus","Feb 15, 2012"
GPL14758,"UIUC Honey bee oligo 13K v1","spotted oligonucleotide","Apis mellifera",14400,8,4,"Ana Durvalina Bomtorin","Feb 15, 2012"
GPL15229,"Applied Biosystems TaqMan Human Stem Cell Pluripotency Array","RT-PCR","Homo sapiens",77,12,1,"ulrich cortes","Feb 15, 2012"
GPL15204,"Agilent-018932 Equine 8X15 Array v1 (Feature Number version)","in situ oligonucleotide","Equus caballus",15744,0,0,"Donald Miller","Feb 14, 2012"
GPL15215,"Roche NimbleGen | A. thaliana Gene Expression 385K Arrays","in situ oligonucleotide","Arabidopsis thaliana",30386,41,2,"Ed Tsang","Feb 14, 2012"
GPL15217,"Agilent-018932 Equine 8X15 Array v1 (Probe Name version)","in situ oligonucleotide","Equus caballus",14368,14,2,"Donald Miller","Feb 14, 2012"
GPL15219,"Agilent-028517 Rice Gene Expression 4x44K Microarray (Feature Number version)","in situ oligonucleotide","Oryza sativa",45151,9,1,"Koichiro Aya","Feb 14, 2012"
GPL15226,"PLBIO-DX2010 - Whole Genome 38K expression array","spotted oligonucleotide","Homo sapiens",37632,8,1,"Geeta Bhalchandra Godbole","Feb 14, 2012"
GPL15228,"Illumina HiSeq 2000 (synthetic construct)","high-throughput sequencing","synthetic construct",0,1047,17,"GEO","Feb 14, 2012"
GPL15232,"Illumina Genome Analyzer (Escherichia coli K-12)","high-throughput sequencing","Escherichia coli K-12",0,3,3,"GEO","Feb 14, 2012"
GPL15233,"Illumina Genome Analyzer (Klebsiella pneumoniae)","high-throughput sequencing","Klebsiella pneumoniae",0,2,2,"GEO","Feb 14, 2012"
GPL15222,"Illumina Genome Analyzer II (Culex quinquefasciatus)","high-throughput sequencing","Culex quinquefasciatus",0,5,1,"GEO","Feb 13, 2012"
GPL15220,"SAGE:17:NlaIII:Magnaporthe grisea","SAGE NlaIII","Magnaporthe grisea",0,2,1,"GEO","Feb 12, 2012"
GPL15207,"[PrimeView] Affymetrix Human Gene Expression Array","in situ oligonucleotide","Homo sapiens",49395,905,72,"Affymetrix, Inc.","Feb 11, 2012"
GPL13670,"Agilent-024081 Hopkins/TRC human shRNA Array","in situ oligonucleotide","Homo sapiens",180880,25,1,"Yu-yi Lin","Feb 10, 2012"
GPL15197,"[MouseNsp] Affymetrix mouse 150K Nsp SNP mapping array","spotted oligonucleotide","Mus musculus",149116,48,1,"Alexander Gimelbrant","Feb 10, 2012"
GPL15216,"LC_MRA-1002_miRMouse_18 (miRNA ID version)","in situ oligonucleotide","Mus musculus",1190,17,3,"Pingsen Zhao","Feb 10, 2012"
GPL15170,"Agilent Streptomyces hygroscopicus var. jinggangensis 15K [Agilent-025874]","in situ oligonucleotide","Streptomyces hygroscopicus subsp. jinggangensis",9078,8,1,"hang wu","Feb 09, 2012"
GPL15172,"Agilent Streptomyces avermitilis 15K [Agilent-020986]","in situ oligonucleotide","Streptomyces avermitilis",7633,8,1,"hang wu","Feb 09, 2012"
GPL15191,"Agilent-034793 Custom Bombyx mori 4x44k designed by Genotypic Technology Pvt. Ltd. (AMADID: 034793)","in situ oligonucleotide","Bombyx mori",24924,4,1,"Genotypic technology","Feb 09, 2012"
GPL15198,"Agilent-016333 Saccharomyces cerevisiae 8x15k Expression Array AMADID: 016333 (Probe based)","in situ oligonucleotide","Saccharomyces cerevisiae",6256,8,2,"Genotypic technology","Feb 09, 2012"
GPL15202,"Exiqon Caenorhabditis elegans miRNA array [miRCURY LNA Array V.11, miRBase 14.0]","spotted oligonucleotide","Caenorhabditis elegans",149,6,1,"Eric Moss","Feb 09, 2012"
GPL15208,"Illumina HiSeq 2000 (Dirofilaria immitis)","high-throughput sequencing","Dirofilaria immitis",0,1,1,"GEO","Feb 09, 2012"
GPL15209,"Illumina HiSeq 2000 (Taenia multiceps)","high-throughput sequencing","Taenia multiceps",0,1,1,"GEO","Feb 09, 2012"
GPL15183,"CRUK/Melton lab-Human melanoma-71-v2-microRNA expression profiling","oligonucleotide beads","Homo sapiens",1146,71,1,"Yan Xu","Feb 08, 2012"
GPL15194,"MRA-1031_MiRMammalia_11.0","in situ oligonucleotide","Ateles sp.;Bos taurus;Canis lupus familiaris;Cricetulus griseus;Gorilla gorilla;Homo sapiens;Lagothrix;Lemur catta;Macaca mulatta;Macaca nemestrina;Monodelphis domestica;Mus musculus;Ovis aries;Pan paniscus;Pan troglodytes;Pongo abelii;Rattus norvegicus;Rhinopithecus bieti;Saguinus imperator;Sus scrofa;Symphalangus syndactylus",3968,1,1,"Isabelle Dufort","Feb 08, 2012"
GPL15195,"University of Texas UTHSC-H Candida albicans v2.0","spotted oligonucleotide","Candida albicans",18240,6,1,"Ameeta Agarwal","Feb 08, 2012"
GPL15200,"454 GS FLX (environmental samples)","high-throughput sequencing","environmental samples",0,6,1,"GEO","Feb 08, 2012"
GPL15201,"454 GS FLX (Aliivibrio fischeri; environmental samples)","high-throughput sequencing","Aliivibrio fischeri;environmental samples",0,12,1,"GEO","Feb 08, 2012"
GPL15205,"Illumina HiSeq 2000 (Bacillus subtilis subsp. subtilis str. 168)","high-throughput sequencing","Bacillus subtilis subsp. subtilis str. 168",0,3,1,"GEO","Feb 08, 2012"
GPL15206,"Illumina HiSeq 2000 (Escherichia coli BW25113)","high-throughput sequencing","Escherichia coli BW25113",0,10,4,"GEO","Feb 08, 2012"
GPL15184,"A-UMCU-C44K-1.0","in situ oligonucleotide","Canis lupus familiaris",45220,154,3,"Patrick Kemmeren","Feb 07, 2012"
GPL15185,"A-UMCU-CE44K-1.0","in situ oligonucleotide","Caenorhabditis elegans",45220,0,0,"Patrick Kemmeren","Feb 07, 2012"
GPL15196,"Illumina HiSeq 2000 (Silene latifolia)","high-throughput sequencing","Silene latifolia",0,6,1,"GEO","Feb 07, 2012"
GPL15181,"Caenorhabditis elegans custom miRNA array","spotted oligonucleotide","Caenorhabditis elegans",96,16,1,"Eric A. Miska","Feb 03, 2012"
GPL15187,"NimbleGen-TI272559 Bacteroides fragilis NCTC 9343 385K Expression Array","in situ oligonucleotide","Bacteroides fragilis NCTC 9343",4231,2,2,"NimbleGen Systems, Inc.","Feb 03, 2012"
GPL15189,"Agilent-021322 Horse Gene Expression Microarray [Feature Number version]","in situ oligonucleotide","Equus caballus",45220,59,2,"Agilent Technologies","Feb 03, 2012"
